timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704197955329,74,Business-0,301,Moved Permanently,Thread Group 1-5,text,true,,577,130,10,10,http://www.simplilearn.com/business/,74,0,0
1704197955403,86,Business-1,301,Moved Permanently,Thread Group 1-5,text,true,,720,130,10,10,https://www.simplilearn.com/business/,86,0,0
1704197955489,5495,Business-2,200,OK,Thread Group 1-5,text,true,,1468469,129,10,10,https://www.simplilearn.com/business,118,0,0
1704197958081,2987,Business,200,OK,Thread Group 1-3,text,true,,1470101,389,10,10,https://www.simplilearn.com/business,59,0,0
1704197958081,59,Business-0,301,Moved Permanently,Thread Group 1-3,text,true,,577,130,10,10,http://www.simplilearn.com/business/,59,0,0
1704197955817,5251,Business,200,OK,Thread Group 1-10,text,true,,1469838,389,10,10,https://www.simplilearn.com/business,67,0,0
1704197958140,63,Business-1,301,Moved Permanently,Thread Group 1-3,text,true,,720,130,10,10,https://www.simplilearn.com/business/,63,0,0
1704197955817,67,Business-0,301,Moved Permanently,Thread Group 1-10,text,true,,577,130,10,10,http://www.simplilearn.com/business/,67,0,0
1704197958203,2865,Business-2,200,OK,Thread Group 1-3,text,true,,1468804,129,10,10,https://www.simplilearn.com/business,93,0,0
1704197955884,97,Business-1,301,Moved Permanently,Thread Group 1-10,text,true,,720,130,10,10,https://www.simplilearn.com/business/,97,0,0
1704197955981,5087,Business-2,200,OK,Thread Group 1-10,text,true,,1468541,129,10,10,https://www.simplilearn.com/business,97,0,0
1704197960924,555,Homepage,200,OK,Thread Group 1-1,text,true,,282657,302,10,10,https://www.simplilearn.com/,58,0,0
1704197960924,58,Homepage-0,301,Moved Permanently,Thread Group 1-1,text,true,,568,181,10,10,http://www.simplilearn.com/,58,0,0
1704197960982,497,Homepage-1,200,OK,Thread Group 1-1,text,true,,282089,121,10,10,https://www.simplilearn.com/,142,0,0
1704197961069,636,Homepage,200,OK,Thread Group 1-3,text,true,,282657,302,10,10,https://www.simplilearn.com/,72,0,0
1704197961069,72,Homepage-0,301,Moved Permanently,Thread Group 1-3,text,true,,568,181,10,10,http://www.simplilearn.com/,72,0,0
1704197961141,564,Homepage-1,200,OK,Thread Group 1-3,text,true,,282089,121,10,10,https://www.simplilearn.com/,101,0,0
1704197960891,1034,Homepage,200,OK,Thread Group 1-4,text,true,,282657,302,10,10,https://www.simplilearn.com/,80,0,0
1704197960891,80,Homepage-0,301,Moved Permanently,Thread Group 1-4,text,true,,568,181,10,10,http://www.simplilearn.com/,80,0,0
1704197960971,954,Homepage-1,200,OK,Thread Group 1-4,text,true,,282089,121,10,10,https://www.simplilearn.com/,117,0,0
1704197961069,967,Homepage,200,OK,Thread Group 1-10,text,true,,282657,302,10,10,https://www.simplilearn.com/,72,0,0
1704197961069,72,Homepage-0,301,Moved Permanently,Thread Group 1-10,text,true,,568,181,10,10,http://www.simplilearn.com/,72,0,0
1704197961141,895,Homepage-1,200,OK,Thread Group 1-10,text,true,,282089,121,10,10,https://www.simplilearn.com/,120,0,0
1704197961479,637,Resource,200,OK,Thread Group 1-1,text,true,,234368,392,10,10,https://www.simplilearn.com/resources,78,0,0
1704197961479,78,Resource-0,301,Moved Permanently,Thread Group 1-1,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,78,0,0
1704197961557,104,Resource-1,301,Moved Permanently,Thread Group 1-1,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,104,0,0
1704197961661,455,Resource-2,200,OK,Thread Group 1-1,text,true,,233341,130,10,10,https://www.simplilearn.com/resources,104,0,0
1704197960985,1147,Homepage,200,OK,Thread Group 1-5,text,true,,282657,302,10,10,https://www.simplilearn.com/,118,0,0
1704197960985,118,Homepage-0,301,Moved Permanently,Thread Group 1-5,text,true,,568,181,10,10,http://www.simplilearn.com/,118,0,0
